facility_id,facility_name,state,condition,discharges,err,predicted_rate,expected_rate,readmissions,worse_than_expected
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,Hip/Knee Replacement,,0.9875,4.5734,4.6311,,0
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,Bypass Surgery (CABG),137,0.9531,10.396,10.9078,13,0
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,Heart Attack (AMI),273,0.937,13.2998,14.1948,33,0
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,COPD,122,0.9823,16.6384,16.9389,19,0
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,Pneumonia (PN),507,0.9871,15.7529,15.9591,79,0
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,Heart Failure (HF),653,1.0233,20.5695,20.101,136,1
010005,MARSHALL MEDICAL CENTERS,AL,COPD,132,0.9308,16.8541,18.108,17,0
010005,MARSHALL MEDICAL CENTERS,AL,Heart Failure (HF),164,1.0087,20.9512,20.77,35,1
010005,MARSHALL MEDICAL CENTERS,AL,Hip/Knee Replacement,,0.8602,4.6113,5.3609,,0
010005,MARSHALL MEDICAL CENTERS,AL,Pneumonia (PN),292,0.8727,13.3116,15.2532,30,0
010006,NORTH ALABAMA MEDICAL CENTER,AL,Heart Attack (AMI),285,0.9195,11.6567,12.6772,29,0
010006,NORTH ALABAMA MEDICAL CENTER,AL,Hip/Knee Replacement,,1.0527,6.083,5.7783,,1
010006,NORTH ALABAMA MEDICAL CENTER,AL,Pneumonia (PN),679,0.9819,15.6444,15.9334,105,0
010006,NORTH ALABAMA MEDICAL CENTER,AL,Heart Failure (HF),461,0.9925,19.2066,19.3517,88,0
010006,NORTH ALABAMA MEDICAL CENTER,AL,Bypass Surgery (CABG),,1.0027,11.1697,11.1399,,1
010006,NORTH ALABAMA MEDICAL CENTER,AL,COPD,174,1.052,19.1045,18.1604,37,1
010007,MIZELL MEMORIAL HOSPITAL,AL,Pneumonia (PN),84,1.0345,16.336,15.7913,16,1
010007,MIZELL MEMORIAL HOSPITAL,AL,Heart Failure (HF),39,1.062,19.6947,18.5446,12,1
010007,MIZELL MEMORIAL HOSPITAL,AL,COPD,,1.0232,16.5931,16.2168,,1
010008,CRENSHAW COMMUNITY HOSPITAL,AL,Pneumonia (PN),,1.0017,13.4114,13.3883,,1
010011,ST. VINCENT'S EAST,AL,Heart Attack (AMI),118,0.9697,11.4644,11.8232,12,0
010011,ST. VINCENT'S EAST,AL,Bypass Surgery (CABG),63,1.1213,12.5649,11.2054,11,1
010011,ST. VINCENT'S EAST,AL,Heart Failure (HF),268,1.0373,19.906,19.1894,56,1
010011,ST. VINCENT'S EAST,AL,COPD,57,0.9988,19.4501,19.4725,11,0
010011,ST. VINCENT'S EAST,AL,Pneumonia (PN),281,1.0102,16.1282,15.9654,46,1
010012,DEKALB REGIONAL MEDICAL CENTER,AL,Hip/Knee Replacement,,0.9322,4.0417,4.3357,,0
010012,DEKALB REGIONAL MEDICAL CENTER,AL,Heart Failure (HF),98,1.084,19.6001,18.0817,25,1
010012,DEKALB REGIONAL MEDICAL CENTER,AL,Heart Attack (AMI),,1.0565,11.4786,10.865,,1
010012,DEKALB REGIONAL MEDICAL CENTER,AL,Pneumonia (PN),142,1.0206,15.253,14.9444,23,1
010012,DEKALB REGIONAL MEDICAL CENTER,AL,COPD,,0.9934,13.8163,13.9081,,0
010016,SHELBY BAPTIST MEDICAL CENTER,AL,Pneumonia (PN),216,1.0292,16.7023,16.2284,38,1
010016,SHELBY BAPTIST MEDICAL CENTER,AL,Bypass Surgery (CABG),,1.0875,12.3307,11.339,,1
010016,SHELBY BAPTIST MEDICAL CENTER,AL,COPD,,0.9888,17.7859,17.9874,,0
010016,SHELBY BAPTIST MEDICAL CENTER,AL,Hip/Knee Replacement,,1.1004,6.2549,5.6843,,1
010016,SHELBY BAPTIST MEDICAL CENTER,AL,Heart Attack (AMI),,1.027,14.8776,14.4868,,1
010016,SHELBY BAPTIST MEDICAL CENTER,AL,Heart Failure (HF),212,1.0053,20.1019,19.9957,43,1
010019,HELEN KELLER HOSPITAL,AL,Hip/Knee Replacement,,1.2168,5.4095,4.4458,,1
010019,HELEN KELLER HOSPITAL,AL,Heart Failure (HF),255,0.9057,17.2859,19.0851,37,0
010019,HELEN KELLER HOSPITAL,AL,COPD,169,1.0327,17.547,16.991,32,1
010019,HELEN KELLER HOSPITAL,AL,Pneumonia (PN),235,1.0061,13.8755,13.7919,33,1
010021,DALE MEDICAL CENTER,AL,Pneumonia (PN),,1.002,13.9025,13.8749,,1
010022,FLOYD CHEROKEE MEDICAL CENTER,AL,Pneumonia (PN),,0.9738,12.7596,13.1025,,0
010023,BAPTIST MEDICAL CENTER SOUTH,AL,Hip/Knee Replacement,,0.9546,5.4372,5.6955,,0
010023,BAPTIST MEDICAL CENTER SOUTH,AL,Heart Failure (HF),289,1.0589,22.0595,20.8335,68,1
010023,BAPTIST MEDICAL CENTER SOUTH,AL,Pneumonia (PN),162,1.049,18.3401,17.4837,33,1
010023,BAPTIST MEDICAL CENTER SOUTH,AL,COPD,64,1.0436,19.9666,19.1329,16,1
010023,BAPTIST MEDICAL CENTER SOUTH,AL,Bypass Surgery (CABG),,1.0851,11.598,10.688,,1
010023,BAPTIST MEDICAL CENTER SOUTH,AL,Heart Attack (AMI),186,1.0084,14.2828,14.1632,27,1
010024,JACKSON HOSPITAL & CLINIC INC,AL,Pneumonia (PN),260,1.0066,15.9827,15.8774,42,1
010024,JACKSON HOSPITAL & CLINIC INC,AL,COPD,87,0.9583,16.1925,16.8969,11,0
010024,JACKSON HOSPITAL & CLINIC INC,AL,Heart Attack (AMI),141,1.0203,14.862,14.5665,22,1
010024,JACKSON HOSPITAL & CLINIC INC,AL,Heart Failure (HF),321,1.0207,19.7846,19.3825,65,1
010024,JACKSON HOSPITAL & CLINIC INC,AL,Bypass Surgery (CABG),,0.9386,10.8206,11.5286,,0
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,Pneumonia (PN),211,0.8875,13.1459,14.8118,20,0
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,Heart Failure (HF),253,1.0273,18.6111,18.1163,49,1
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,COPD,,0.9239,16.2846,17.6261,,0
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,Heart Attack (AMI),91,1.0521,11.5674,10.9948,13,1
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,Bypass Surgery (CABG),,0.9704,9.9541,10.2577,,0
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,Hip/Knee Replacement,401,0.9746,4.562,4.6807,18,0
010033,UNIVERSITY OF ALABAMA HOSPITAL,AL,Pneumonia (PN),343,1.0983,17.1081,15.5775,65,1
010033,UNIVERSITY OF ALABAMA HOSPITAL,AL,COPD,169,0.9689,19.1648,19.78,30,0
