facility_name,state,discharges,err,readmissions
ST LUCIE MEDICAL CENTER,FL,390,1.2781,115
SOIN MEDICAL CENTER,OH,364,1.2443,110
"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",NY,409,1.2419,120
WEST CHESTER HOSPITAL,OH,348,1.2312,99
WINCHESTER HOSPITAL,MA,685,1.23,172
JEFFERSON HEALTH- NORTHEAST,PA,839,1.2197,218
MILFORD REGIONAL MEDICAL CENTER,MA,733,1.2135,180
REGIONAL MEDICAL CENTER OF SAN JOSE,CA,376,1.2127,95
ST JOSEPH'S HOSPITAL HEALTH CENTER,NY,556,1.207,142
WEST JERSEY HOSPITAL,NJ,1175,1.1999,287
SAINT CLARE'S HOSPITAL/ DENVILLE CAMPUS,NJ,504,1.1984,125
COMANCHE COUNTY MEMORIAL HOSPITAL,OK,600,1.1801,149
SAINT AGNES MEDICAL CENTER,CA,916,1.1768,220
INSPIRA MEDICAL CENTER MULLICA HILL,NJ,671,1.1734,163
COMMUNITY MEDICAL CENTER,NJ,1272,1.1729,302
ST JOSEPH'S UNIVERSITY MEDICAL CENTER INC,NJ,449,1.1666,115
CAMDEN CLARK MEDICAL CENTER,WV,572,1.1656,156
INGALLS MEMORIAL HOSPITAL,IL,503,1.1602,126
PROVIDENCE SAINT JOSEPH MEDICAL CTR,CA,650,1.1528,156
CARLE FOUNDATION HOSPITAL,IL,838,1.1525,215
SLIDELL MEMORIAL HOSPITAL,LA,383,1.1517,100
ST JOE MERCY HOSPITAL SYSTEM LIVONIA,MI,733,1.1512,182
HENRY FORD HEALTH WEST BLOOMFIELD HOSPITAL,MI,572,1.1495,142
GLENWOOD REGIONAL MEDICAL CENTER,LA,423,1.1494,103
WELLMONT BRISTOL REGIONAL MEDICAL CENTER,TN,420,1.1493,101
